22	22	22	23	18	11	20	17	24	34	41	49	41	39	17	29	32	29	9	15	25	4	9	32	7	42	11	8	149	58	36	7	7	22	116	153	140	140	144	125	114	125	134	109	89	80	84	88	89	19	16	65	70	64	94	104	116	97	113	106	110	129	116	120	
87	87	89	84	29	43	44	37	52	59	78	72	75	73	15	16	30	29	8	1	21	11	40	56	29	41	21	31	139	64	27	1	31	23	37	153	131	143	139	132	113	128	126	103	93	88	100	7	7	30	61	73	84	102	110	112	109	99	106	115	128	135	127	139	
89	89	90	58	45	46	46	53	52	68	61	61	58	10	25	23	22	19	1	4	16	18	47	40	27	22	33	39	100	114	26	8	54	12	27	148	140	139	126	134	109	116	136	114	99	99	16	22	70	89	100	111	116	105	115	103	106	112	114	102	111	103	98	100	
80	80	65	61	41	59	55	50	36	65	58	48	61	21	20	11	20	20	8	7	16	20	36	35	39	38	32	31	93	118	13	13	36	9	3	139	126	8	119	6	114	102	140	116	7	4	19	95	103	104	129	123	131	143	126	150	135	149	156	152	157	155	154	148	
78	78	63	73	70	55	49	50	27	55	65	44	56	11	23	11	21	14	4	8	5	12	18	5	46	29	25	28	59	119	45	132	34	24	2	139	139	121	132	123	109	82	15	10	9	27	58	20	37	38	29	24	25	31	38	45	24	18	39	16	46	44	36	42	
53	53	59	59	41	58	40	31	37	39	71	41	31	14	30	20	16	26	5	1	9	14	3	21	21	4	21	28	36	108	81	107	28	32	16	110	3	114	194	18	116	101	12	20	21	128	34	49	106	2	113	106	134	88	117	107	63	104	108	43	128	92	88	83	
85	85	60	83	39	44	48	22	48	39	58	51	46	6	23	15	6	28	2	3	8	11	13	33	48	21	21	12	6	117	75	100	26	38	25	122	133	113	17	130	78	22	68	15	6	29	51	85	243	74	76	158	149	141	111	49	43	52	39	46	44	44	43	51	
79	79	63	83	21	32	55	17	50	37	46	51	45	3	21	14	8	22	12	4	8	1	19	160	69	23	26	7	0	116	87	82	20	47	21	5	108	15	7	33	18	11	111	117	65	119	47	99	42	47	106	19	42	30	17	47	45	9	63	57	86	79	62	25	
41	41	6	8	30	50	49	19	32	33	48	53	37	3	13	23	6	13	9	6	8	4	15	144	54	37	19	11	1	120	93	73	29	41	29	33	13	115	107	27	80	51	28	124	61	19	45	96	123	104	3	2	21	43	25	97	2	59	50	62	6	79	68	48	
37	37	27	24	45	45	42	26	19	33	50	51	50	4	17	23	15	8	29	8	5	6	11	151	46	11	45	38	8	101	103	55	29	49	33	8	132	96	18	63	16	22	187	33	218	222	240	203	19	65	237	221	200	92	47	49	25	139	87	85	39	102	108	64	
2	2	11	30	3	64	49	29	32	19	49	64	54	10	12	14	15	12	17	4	7	5	8	89	18	13	44	25	10	69	113	65	50	34	23	0	133	93	16	29	104	74	44	138	162	148	84	238	245	33	235	2	37	81	110	64	33	83	132	51	8	24	27	57	
17	17	35	21	27	30	81	29	24	37	34	51	49	5	15	4	25	17	11	6	9	1	38	81	7	13	37	31	11	60	111	71	28	49	43	216	0	21	85	133	116	122	142	165	124	44	28	127	141	244	12	2	12	32	81	42	20	18	10	21	6	78	74	140	
17	17	34	6	27	5	58	62	15	43	22	51	53	8	16	18	10	22	10	6	1	2	40	120	44	52	14	18	25	40	116	87	37	41	4	114	31	116	145	125	137	100	12	18	230	48	62	69	2	5	4	24	34	21	42	67	87	12	52	12	45	37	84	134	
10	10	22	7	22	16	35	73	14	45	40	47	57	7	9	14	13	17	5	4	2	1	5	43	20	65	4	36	25	23	122	101	41	51	10	75	93	211	26	1	246	193	131	137	235	207	119	42	15	243	12	28	40	53	40	109	59	9	43	16	160	13	36	118	
3	3	23	4	30	14	23	61	32	31	32	53	48	2	20	12	18	14	9	4	10	26	26	95	5	66	9	31	33	13	108	109	25	21	90	103	47	18	245	12	209	47	229	71	20	1	2	113	235	117	21	27	23	37	39	87	7	37	36	2	143	20	47	130	
14	14	28	2	19	18	17	31	55	20	26	53	47	8	17	12	9	15	11	13	10	36	28	73	24	56	4	25	32	10	102	109	42	133	127	105	27	94	97	87	222	37	64	59	148	36	92	43	21	238	91	86	68	97	11	53	66	57	17	37	45	74	79	27	
6	6	23	3	34	10	15	30	64	26	24	51	52	4	15	10	4	15	10	11	15	46	38	54	35	34	1	23	50	19	68	102	54	200	176	71	0	27	73	91	3	49	54	8	23	38	95	62	22	87	134	54	97	96	68	80	58	85	11	37	144	61	6	40	
7	7	15	0	31	16	20	11	53	25	25	45	49	4	13	8	9	17	12	17	21	61	23	10	39	0	12	1	38	25	62	3	60	81	85	22	72	73	154	92	100	5	90	20	84	60	23	51	88	15	32	42	17	58	64	35	85	79	72	80	96	102	114	68	
11	11	5	13	25	22	14	20	28	50	18	44	54	0	20	5	9	22	4	15	1	45	6	24	35	42	26	5	49	42	44	90	52	71	107	191	40	65	118	228	81	38	88	202	14	42	14	76	24	32	46	24	63	3	19	28	20	41	60	80	106	69	22	10	
81	81	98	93	32	10	15	25	23	49	26	42	52	2	17	12	12	20	15	11	9	19	8	17	37	31	36	15	100	28	32	39	34	146	173	205	155	127	48	27	63	84	49	80	3	176	16	158	57	1	6	82	41	77	83	49	93	43	31	49	6	44	41	2	
54	54	71	76	23	9	14	23	22	39	30	34	58	7	15	12	9	15	6	6	0	6	27	37	32	11	41	12	31	20	44	3	81	69	99	5	3	163	130	14	51	57	55	47	5	43	33	114	121	111	71	49	30	23	6	42	51	39	109	124	5	17	41	49	
54	54	47	35	18	14	21	19	24	18	42	36	54	1	8	3	8	11	17	12	2	1	33	27	12	12	43	6	39	30	31	129	20	36	87	74	126	124	35	13	18	3	31	30	147	89	69	30	84	56	68	62	80	86	97	46	35	132	6	43	2	104	163	25	
1	1	32	25	31	11	24	23	25	13	15	39	51	5	14	7	10	17	3	7	10	4	21	19	5	5	55	31	6	59	91	57	50	44	84	1	47	88	32	6	18	35	15	108	71	26	71	215	64	95	120	107	10	72	101	5	106	122	83	47	172	160	127	107	
7	7	7	15	26	17	19	24	18	24	17	37	61	3	16	16	1	15	4	9	11	5	22	2	13	8	30	78	119	91	3	20	41	118	1	86	3	11	25	48	57	87	1	101	64	101	10	73	52	19	31	13	19	19	29	15	127	163	194	76	76	96	65	61	
28	28	42	50	31	5	6	16	28	22	18	20	61	8	9	13	2	7	10	7	12	2	16	9	13	37	78	79	94	41	164	91	72	168	88	6	0	17	79	19	41	55	2	97	57	131	8	225	139	141	27	142	57	47	127	161	216	124	43	89	115	119	56	40	
31	31	23	60	27	13	26	8	16	19	13	16	64	2	12	9	12	5	6	12	5	8	2	48	1	64	28	21	42	9	11	43	43	25	32	38	14	35	120	25	7	72	45	23	25	101	111	29	97	15	7	75	14	68	21	59	43	10	44	107	23	133	75	64	
11	11	17	39	26	13	17	19	24	13	17	0	55	5	10	8	0	15	5	7	16	6	11	39	110	10	118	14	14	110	54	38	11	90	116	23	26	13	10	46	29	9	45	38	11	63	128	31	72	73	16	239	20	27	77	78	16	41	68	61	7	3	8	7	
19	19	15	34	31	11	18	15	21	20	19	7	35	13	8	13	7	1	7	3	9	14	46	19	101	65	26	61	74	43	107	24	34	108	46	96	59	101	76	91	12	87	53	99	49	78	102	43	90	70	16	4	74	1	85	146	14	35	30	4	43	31	14	3	
31	31	19	38	22	16	11	17	23	9	23	13	20	15	16	15	10	8	15	6	17	5	9	76	88	59	4	43	28	97	16	78	11	2	6	8	48	87	71	65	40	15	54	23	101	30	78	15	132	19	13	82	59	94	101	63	41	51	19	33	50	42	13	61	
8	8	13	16	25	23	18	21	21	21	17	33	2	28	7	6	4	62	82	15	18	16	45	61	99	52	1	18	36	113	36	64	58	65	7	16	20	28	6	7	212	15	13	70	158	134	47	34	86	93	128	97	120	50	59	68	68	43	83	34	15	74	72	94	
43	43	9	7	3	11	68	86	58	17	18	53	77	72	9	60	80	30	50	109	21	41	22	145	2	4	89	14	131	68	34	32	123	21	82	30	55	107	65	82	24	104	79	14	78	74	70	14	60	68	19	57	42	1	3	21	9	18	37	71	41	36	26	23	
18	18	16	40	45	13	3	16	33	35	42	45	31	23	37	11	37	5	137	18	9	7	16	107	122	116	83	29	92	145	16	39	11	151	13	114	23	79	64	44	37	59	111	88	97	146	84	91	13	64	66	121	33	60	25	16	49	11	24	19	10	142	79	1	
136	136	81	56	14	6	19	49	96	107	73	103	6	8	3	56	64	59	30	57	3	0	80	100	120	56	74	82	22	20	44	6	17	4	30	21	20	38	62	7	18	96	150	42	99	195	11	16	126	236	155	89	127	24	41	14	124	27	129	80	2	7	125	33	
20	20	35	51	71	124	18	28	46	70	80	122	30	12	52	20	108	24	12	3	1	5	113	23	27	62	71	57	22	9	43	50	65	43	111	11	15	13	18	40	34	27	63	75	32	8	9	118	2	137	33	42	65	30	32	54	38	4	105	58	2	8	11	67	
20	20	39	100	81	85	67	57	101	38	58	10	62	26	101	3	56	95	38	16	16	40	41	44	87	27	8	116	16	43	97	45	81	108	2	73	4	17	27	39	56	39	24	57	3	46	19	76	106	64	55	45	64	95	55	85	128	85	105	139	59	37	38	35	
37	37	8	11	53	52	24	57	12	13	56	77	32	64	160	165	24	57	39	79	53	56	67	61	36	80	11	2	32	134	87	25	68	95	16	32	113	20	0	13	85	43	112	49	72	41	34	15	27	46	88	111	85	65	56	19	92	56	105	44	103	5	0	26	
11	11	20	9	21	1	14	56	5	64	5	62	26	91	132	28	55	70	92	101	56	21	4	61	4	18	28	5	100	88	13	116	12	27	75	34	79	108	129	138	88	97	6	98	16	74	68	93	0	114	91	107	110	78	67	23	73	1	60	88	104	127	60	5	
3	3	26	62	4	31	35	16	19	81	43	28	19	67	118	23	25	56	2	140	67	16	18	38	56	16	9	6	43	75	40	14	124	35	3	108	12	93	98	121	31	134	18	100	61	53	58	33	3	50	14	42	25	9	70	21	32	34	123	28	72	103	3	82	
45	45	27	147	16	58	69	16	48	53	112	112	12	90	90	63	23	70	34	49	83	59	36	16	93	53	56	88	82	4	76	90	112	2	44	18	68	44	84	55	106	41	57	28	18	29	33	114	17	6	20	44	1	9	73	99	15	89	34	50	17	79	39	53	
52	52	2	56	4	16	93	28	27	27	31	61	54	52	30	77	40	41	16	58	7	70	31	8	76	67	37	40	61	21	17	26	50	14	31	37	22	6	4	6	108	105	20	40	9	60	106	68	145	30	106	32	58	18	79	82	57	18	47	17	69	64	69	34	
27	27	27	4	17	38	88	4	10	7	29	40	94	191	68	92	80	88	42	39	28	6	40	34	83	51	7	0	4	27	96	51	20	6	13	37	32	35	2	106	79	101	104	50	14	20	89	78	129	52	60	19	37	10	28	56	106	5	36	1	14	53	36	35	
35	35	24	23	15	39	22	5	18	22	72	71	109	31	99	84	93	17	63	14	12	16	9	14	4	2	3	29	9	14	3	85	72	67	9	65	18	1	17	147	140	6	17	26	29	106	53	27	5	65	46	123	18	77	17	11	89	112	16	21	63	52	77	63	
