5	5	4	4	4	4	4	5	4	4	4	3	2	2	2	2	3	2	3	4	5	5	4	3	4	10	3	4	10	16	11	5	21	19	19	17	17	17	16	16	15	15	15	15	15	14	14	14	14	15	19	25	32	32	31	32	32	32	31	32	32	32	33	33	
4	4	4	4	4	4	3	2	1	1	1	0	0	0	0	0	3	3	2	4	5	5	4	3	2	11	4	4	10	14	14	6	42	19	19	17	17	16	17	15	16	16	15	15	15	14	14	16	19	24	29	31	31	32	32	32	32	32	31	32	32	33	67	33	
9	9	10	9	10	8	6	5	4	3	4	2	3	3	2	7	8	8	7	8	8	11	14	7	6	21	21	15	16	33	36	24	42	35	35	34	33	33	32	30	32	31	29	30	28	30	32	40	54	65	65	65	64	64	64	64	64	64	65	66	32	32	65	31	
9	9	8	7	5	3	3	2	2	1	2	1	1	4	3	6	7	9	8	8	8	7	17	8	6	18	20	17	16	33	36	26	37	36	35	35	31	33	34	30	32	31	30	30	34	39	47	57	65	66	66	66	65	67	66	66	67	67	69	69	35	35	67	35	
7	7	4	3	2	1	1	3	2	1	2	1	5	5	3	6	8	10	9	7	9	7	16	8	6	17	19	20	15	33	33	28	36	36	35	36	31	34	33	29	32	30	31	35	43	56	63	64	61	60	59	58	59	58	59	59	60	58	58	59	26	27	63	27	
4	4	3	3	1	2	4	4	3	2	3	3	4	4	5	6	7	9	9	8	8	7	13	10	7	15	21	21	16	32	32	32	33	36	36	36	32	35	32	33	33	33	37	48	55	65	63	72	46	51	53	51	52	52	51	55	53	52	56	55	17	21	44	19	
2	2	1	1	4	4	3	4	3	3	2	2	5	5	5	7	6	10	11	8	9	8	12	11	8	12	23	19	19	30	32	32	32	36	36	36	32	34	33	34	35	37	45	60	65	61	66	50	24	35	35	35	36	36	36	35	35	35	36	35	7	8	27	8	
2	2	2	4	4	4	4	5	4	3	2	2	5	4	5	8	6	9	10	8	8	9	11	13	9	9	23	17	23	27	33	34	30	37	37	35	35	34	32	35	44	47	55	63	72	53	50	47	48	54	50	50	53	54	51	54	58	56	54	54	39	35	48	39	
4	4	4	3	5	4	5	4	4	3	3	2	5	4	6	8	7	9	10	9	8	10	8	15	10	9	23	17	23	26	33	35	30	37	35	36	36	35	32	37	50	67	68	74	66	40	43	43	40	65	50	35	36	43	39	40	45	39	99	73	56	28	64	22	
4	4	4	4	4	7	5	4	3	4	2	3	5	4	5	9	7	8	9	11	8	11	6	16	10	9	23	19	22	25	33	36	29	37	35	36	37	37	37	45	51	68	71	69	63	67	72	67	67	67	92	81	77	83	82	79	77	72	60	76	25	23	38	53	
5	5	4	4	4	4	7	3	3	3	3	3	5	5	5	9	8	8	10	11	8	11	5	17	10	9	22	20	25	24	32	35	30	37	36	35	34	41	49	56	53	70	71	70	71	68	98	69	67	73	82	75	72	78	73	88	69	54	54	52	29	23	40	24	
