0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	10	10	10	8	16	23	21	21	21	22	23	25	25	23	22	22	21	21	21	22	22	21	17	15	15	18	21	21	19	18	15	11	5	1	0	0	0	1	5	8	11	11	13	16	19	20	21	22	21	20	18	14	8	6	7	10	12	13	11	6	2	2	2	1	0	0	1	2	3	6	8	13	16	19	20	21	15	8	1	0	1	5	7	17	25	30	23	20	20	22	25	26	27	26	26	27	27	28	28	28	25	21	20	21	21	21	21	21	21	21	21	20	20	18	18	18	18	18	19	20	21	21	22	17	13	11	15	19	21	22	22	22	22	21	20	18	15	11	8	7	7	8	13	18	21	23	25	25	23	20	18	17	17	16	13	15	16	19	19	20	20	21	23	25	20	12	3	7	18	25	26	21	21	20	19	18	20	17	15	11	10	7	3	1	1	3	6	8	11	12	10	5	1	1	2	3	5	6	7	7	7	8	8	6	5	6	11	12	8	3	2	3	5	3	3	3	5	6	8	10	11	13	17	21	21	19	16	13	12	12	13	15	15	15	13	13	15	18	19	18	17	18	19	21	21	23	25	25	23	22	22	21	21	21	
20	20	20	30	25	40	45	44	44	44	45	45	46	46	45	45	45	43	43	43	45	42	37	31	30	33	39	43	43	40	38	31	23	11	3	0	0	1	5	11	17	21	23	27	30	35	39	44	45	43	41	35	25	15	10	12	17	23	26	20	10	2	2	2	2	1	1	1	5	8	13	17	25	30	35	39	41	30	15	2	2	7	13	20	36	50	55	45	38	41	45	48	51	55	52	52	52	53	55	56	54	48	40	38	40	42	42	42	43	44	43	43	39	38	35	36	36	37	38	38	40	41	43	45	37	28	22	29	37	42	44	45	45	44	43	39	35	28	22	18	16	16	17	25	35	43	47	50	49	45	38	35	32	32	31	28	31	32	36	37	40	42	44	47	48	38	23	7	17	42	59	59	46	43	40	36	36	38	36	31	25	21	15	8	5	3	6	10	16	21	22	16	7	1	1	3	6	8	8	12	13	17	17	17	12	10	15	25	30	21	11	6	7	8	6	6	6	8	12	20	23	26	29	35	41	40	37	35	31	29	27	28	30	28	27	27	28	30	31	35	37	36	36	38	42	45	46	48	48	47	47	47	46	45	43	
30	30	30	50	43	66	70	70	69	67	66	66	68	70	69	68	67	66	65	65	65	58	50	42	45	52	62	66	67	62	58	48	36	17	6	0	0	1	6	15	25	31	36	42	47	54	58	63	65	65	63	55	38	22	15	21	28	36	36	26	12	2	2	2	2	1	1	1	6	12	21	28	38	46	55	62	65	45	21	2	5	13	21	36	62	81	79	63	57	63	68	75	78	83	80	81	80	81	81	82	78	70	60	58	60	62	63	63	64	65	64	63	58	57	54	54	52	53	55	57	59	61	64	67	57	42	33	41	55	63	66	67	67	66	64	59	53	45	35	28	23	23	27	38	53	63	70	72	71	66	57	52	48	47	46	43	46	47	51	53	58	63	66	70	71	56	33	10	24	63	90	90	71	65	61	56	56	60	55	49	37	30	20	11	7	6	11	15	23	31	35	27	15	5	3	6	10	12	12	17	20	26	26	25	17	16	24	38	43	31	17	11	12	13	10	11	12	16	21	31	37	42	45	53	58	59	56	55	50	45	41	41	43	41	41	41	43	44	45	50	56	57	58	60	65	67	68	70	71	70	71	70	70	65	63	
30	30	30	60	51	75	69	71	70	67	65	64	65	67	68	68	65	63	63	64	59	48	38	37	44	54	63	66	65	61	58	51	40	21	8	0	0	2	7	15	22	28	36	42	46	51	56	61	63	65	62	51	33	18	13	21	28	33	31	21	10	1	0	0	1	1	1	0	6	13	22	30	39	50	58	66	65	42	17	2	8	18	27	50	72	83	70	58	58	65	70	75	78	82	78	81	76	80	78	81	74	67	58	58	59	61	61	61	61	63	63	61	56	53	50	50	48	50	53	56	59	60	63	66	59	42	32	36	51	60	65	66	66	65	63	59	54	47	38	31	25	23	27	36	50	60	68	70	67	62	55	50	45	43	43	45	46	46	47	51	57	63	66	68	68	53	32	11	24	63	90	92	72	61	56	52	54	58	56	50	37	28	18	12	10	7	10	12	22	31	35	27	15	5	2	5	8	11	10	15	18	26	25	23	16	16	24	36	38	27	16	15	15	15	10	13	16	20	23	33	41	45	46	52	57	57	55	54	51	45	40	38	42	41	41	42	45	42	41	46	56	61	61	61	64	67	67	67	68	68	70	70	70	66	65	
30	30	30	60	52	76	70	71	70	66	64	64	65	68	69	70	65	62	61	60	49	37	31	37	45	56	63	66	63	59	58	55	46	29	13	2	0	2	6	12	18	26	35	43	50	55	58	60	63	65	60	47	28	16	12	23	32	36	30	18	8	1	1	2	3	2	1	1	7	15	22	30	39	51	61	69	61	38	14	3	12	20	31	59	80	81	61	53	60	66	70	75	77	80	78	82	79	80	78	80	71	64	58	59	60	61	61	60	59	60	61	60	56	52	50	47	46	46	48	51	54	56	60	63	60	43	32	31	46	56	62	66	66	66	63	60	55	50	41	32	26	25	28	35	47	58	65	66	65	61	55	50	45	43	43	45	45	45	45	49	55	61	65	68	68	53	32	11	22	61	92	93	72	58	56	55	57	60	55	47	35	27	17	11	7	6	8	12	22	31	36	28	16	5	2	5	8	12	13	17	18	21	20	18	13	16	22	32	30	21	12	13	15	15	11	16	20	25	27	33	40	43	48	52	56	58	55	51	45	40	38	37	40	38	40	41	42	41	41	48	55	60	58	60	63	66	67	67	68	67	68	67	66	65	65	
28	28	28	58	50	71	63	65	66	65	65	65	66	66	67	67	63	58	53	48	36	30	28	40	46	57	61	64	61	57	58	57	52	36	18	5	0	2	6	12	18	26	35	42	50	55	60	64	66	66	56	40	20	12	13	26	35	37	30	17	7	1	1	2	3	2	1	2	8	16	22	28	38	50	61	67	54	30	8	6	15	23	45	69	80	66	55	55	63	66	70	73	73	75	75	78	79	80	79	81	70	62	53	56	58	61	61	59	58	58	58	56	51	48	46	45	45	45	46	48	50	53	57	61	61	47	35	30	41	53	60	64	65	66	63	59	53	48	42	35	28	26	27	33	45	57	65	66	65	61	55	48	42	41	41	42	42	43	45	48	53	59	63	67	68	53	32	12	19	55	85	90	69	53	52	52	55	55	50	43	33	27	17	12	8	6	6	11	23	33	38	28	15	2	0	3	7	13	15	17	17	18	17	17	15	17	21	30	26	18	10	13	15	16	13	18	22	27	30	33	37	40	46	52	56	56	51	47	42	40	40	38	38	37	38	41	43	43	43	48	52	56	54	58	61	66	68	68	68	68	67	67	64	65	64	
27	27	27	56	48	70	61	63	65	65	66	65	66	65	67	66	65	56	45	33	25	26	30	43	51	61	65	65	63	58	58	56	54	41	22	7	0	3	8	15	21	27	38	44	54	57	63	65	67	65	52	34	15	12	18	31	38	41	32	17	5	0	1	2	3	2	1	2	7	15	22	30	38	49	59	63	49	26	7	6	15	25	50	69	72	56	50	57	65	67	70	72	72	72	73	75	78	77	78	78	68	60	50	55	58	60	61	59	57	56	54	51	48	47	46	45	45	45	45	45	45	50	55	61	63	53	40	32	37	50	57	63	63	65	63	59	53	48	42	35	28	26	27	33	45	57	65	66	65	61	55	48	43	42	42	41	41	42	45	46	50	56	62	66	68	52	30	10	15	53	86	94	74	54	53	53	55	55	48	43	33	26	15	10	6	5	5	11	23	32	37	27	15	2	1	5	8	15	17	20	18	18	16	15	13	20	25	31	26	18	11	11	12	15	17	22	26	30	31	32	35	41	49	53	55	53	49	43	38	40	41	40	36	33	35	37	41	43	45	48	50	53	54	58	61	63	66	67	68	70	70	70	65	63	61	
24	24	24	51	47	68	60	61	63	65	66	66	66	66	64	60	55	45	29	20	17	27	33	45	54	64	66	65	63	57	56	54	54	43	25	8	0	5	11	18	25	30	39	44	53	58	64	66	65	61	47	28	12	13	26	36	41	40	30	15	3	1	1	0	0	0	0	3	8	17	25	32	41	51	61	61	44	21	5	7	15	35	65	77	68	50	52	60	65	66	71	75	76	73	71	70	75	75	77	76	67	58	50	53	56	59	58	56	55	56	53	50	46	45	45	45	43	43	43	45	45	48	53	59	62	59	46	36	36	48	55	60	61	65	63	59	53	48	42	35	28	26	28	35	46	57	65	67	65	61	55	48	42	41	40	38	38	41	45	45	48	54	61	65	67	50	27	8	11	46	78	91	76	55	52	49	50	48	47	45	36	26	13	8	5	5	6	12	22	31	35	26	13	2	1	5	8	13	16	18	20	21	18	16	13	20	25	30	23	17	11	13	13	17	20	26	30	32	32	33	38	46	53	54	53	49	44	40	38	41	41	40	37	36	36	36	42	43	46	45	48	51	56	58	59	59	62	65	66	71	73	72	66	62	61	
23	23	23	47	46	66	63	61	63	65	67	66	66	65	61	56	46	35	20	16	18	30	37	48	56	65	68	65	60	53	52	53	56	47	27	10	0	7	15	22	26	31	42	47	55	58	65	65	63	57	43	25	15	20	35	44	46	42	31	16	5	2	2	1	1	2	3	7	12	18	25	31	41	51	61	60	41	20	7	11	21	43	67	72	58	46	51	59	63	66	71	75	77	76	73	71	73	72	76	73	66	58	53	57	58	58	56	55	55	55	53	50	47	45	45	45	43	43	43	45	45	46	51	56	61	62	48	37	32	44	52	58	61	63	63	61	55	50	42	33	28	27	31	36	45	56	63	66	64	60	53	47	41	40	38	37	38	41	46	46	50	53	61	65	67	50	27	8	10	41	75	89	77	53	49	46	47	47	48	46	38	27	17	11	6	6	7	15	22	30	31	23	13	5	3	6	10	13	17	20	21	20	16	13	11	17	25	27	21	13	10	12	13	17	20	26	30	32	32	35	41	48	53	50	48	43	39	35	37	40	41	40	38	38	36	36	40	42	43	42	45	50	56	58	60	58	61	65	68	72	75	74	69	64	63	
21	21	21	44	43	63	62	62	65	65	66	66	66	65	59	49	33	21	15	17	23	35	41	50	55	64	68	65	58	51	51	55	59	52	31	12	0	5	12	20	27	33	41	48	55	62	66	66	65	57	41	23	17	25	39	45	45	38	26	13	6	6	5	2	1	3	6	11	15	21	27	33	43	51	60	57	36	18	10	17	27	57	76	75	56	48	56	59	63	67	72	76	77	76	73	72	73	73	77	75	66	55	52	56	58	58	56	55	55	53	52	48	46	43	43	45	43	43	43	45	45	46	50	55	60	63	49	38	31	41	49	56	61	63	62	60	54	49	41	35	31	30	33	37	46	56	63	65	63	58	52	46	41	38	37	37	40	42	46	47	51	55	60	64	66	50	27	8	8	35	71	88	78	51	44	41	42	42	46	46	40	30	21	15	8	6	7	16	25	33	32	23	12	5	3	6	10	13	16	18	20	18	13	12	12	20	26	26	20	12	10	12	13	17	20	26	30	31	33	37	45	48	49	45	43	41	38	35	37	40	41	40	38	38	37	38	42	43	43	42	42	46	51	55	56	56	60	65	67	71	72	73	70	67	65	
21	21	21	43	39	59	60	64	66	66	65	65	65	64	55	40	23	13	15	21	28	40	45	50	54	60	66	64	59	53	53	58	61	55	33	13	1	5	12	18	27	35	43	48	54	60	63	65	65	58	40	22	18	26	39	45	48	38	25	12	6	7	6	6	5	6	7	10	13	20	28	37	46	54	58	52	31	18	13	22	38	63	74	64	50	47	56	59	66	70	72	72	75	76	77	75	73	75	80	78	67	55	53	57	59	58	58	56	55	51	48	46	45	43	43	43	42	42	43	45	45	46	50	54	58	61	50	39	30	37	46	55	60	61	61	60	55	49	41	35	31	30	33	37	46	56	63	65	62	56	50	45	41	37	36	36	38	41	45	47	51	55	59	63	65	50	29	11	8	25	57	79	76	53	40	37	37	40	45	46	40	28	21	16	12	7	7	15	26	36	35	26	15	8	6	7	10	15	16	17	17	16	12	11	13	22	28	26	17	10	8	11	13	17	22	27	31	31	35	38	45	46	46	41	40	40	41	40	40	41	40	38	36	36	37	41	42	43	42	43	42	46	51	56	58	58	60	64	66	70	70	71	70	68	66	
21	21	21	43	38	58	58	65	66	66	65	65	65	61	47	28	15	10	15	22	31	42	48	53	56	61	66	65	63	56	56	59	63	58	39	18	3	5	11	17	26	33	41	46	53	58	61	63	64	53	35	17	17	25	35	37	42	33	22	8	5	6	6	7	6	6	5	6	10	18	30	41	51	58	56	45	25	16	16	26	45	67	71	60	48	53	59	63	68	72	72	71	75	76	77	73	72	77	82	80	66	54	51	56	59	59	58	57	55	51	47	45	43	43	43	42	41	41	43	45	45	46	50	53	57	60	54	43	33	36	45	53	59	61	62	60	55	50	41	35	31	31	35	40	50	58	65	65	61	55	49	46	41	37	35	35	36	38	42	46	48	53	57	62	64	50	30	12	10	20	52	76	80	58	41	36	35	38	45	46	38	26	17	13	11	6	6	11	25	36	37	27	15	7	6	7	10	13	15	16	16	15	12	11	15	25	28	25	15	10	8	10	12	18	27	32	33	31	33	38	43	46	45	41	42	43	45	41	36	37	33	35	33	35	37	40	42	43	42	42	43	45	52	56	59	58	58	62	65	67	67	70	71	70	68	
22	22	22	44	38	59	59	65	65	65	64	64	60	49	30	13	7	10	17	26	35	43	50	56	61	63	65	66	65	61	61	62	65	60	42	21	5	6	11	17	25	33	43	47	53	56	59	61	61	47	28	13	17	25	33	40	46	38	26	10	5	2	5	7	7	5	3	5	11	18	28	38	50	58	55	41	21	13	15	32	58	75	68	52	48	55	60	65	71	73	71	70	75	78	80	76	73	77	82	78	65	55	53	56	56	57	56	56	54	51	48	47	46	43	43	41	41	41	43	45	45	45	48	52	57	60	58	46	37	36	46	53	59	62	63	60	56	51	42	35	31	33	37	42	50	58	64	65	58	53	47	46	40	36	32	32	32	36	41	45	46	51	56	61	63	50	31	15	12	15	41	71	83	67	46	38	37	41	47	46	37	23	15	10	10	7	10	12	22	31	35	27	16	8	7	7	8	11	13	13	15	13	13	10	13	21	25	21	12	11	10	11	13	22	31	33	32	30	31	35	40	43	45	42	42	41	41	40	36	36	32	33	35	37	38	38	40	41	41	40	45	46	55	56	62	60	60	61	63	66	68	71	73	73	71	
23	23	23	46	41	63	62	65	64	63	63	61	53	35	18	8	10	16	22	30	38	45	53	60	64	65	65	66	66	63	63	63	66	61	45	23	6	5	10	17	25	33	43	47	54	58	62	63	58	39	20	8	17	28	40	47	48	40	26	12	7	3	6	6	6	3	5	7	13	18	26	35	47	56	55	39	20	12	16	35	59	71	61	49	48	59	61	68	74	76	73	71	73	76	76	75	73	77	81	73	63	53	55	57	57	58	56	56	54	51	48	47	46	43	43	41	42	42	45	43	42	42	46	51	56	59	61	49	41	36	45	52	58	62	63	60	58	53	43	37	33	36	38	43	51	59	65	65	60	54	48	45	38	35	32	32	33	37	42	46	47	52	56	62	64	50	31	16	15	16	36	63	80	68	51	42	42	43	46	42	32	20	12	7	8	7	11	13	21	28	32	26	16	8	8	7	10	10	15	15	17	16	15	12	16	22	22	17	11	12	11	12	16	26	33	35	32	30	31	33	39	41	45	43	43	41	40	37	32	31	30	32	33	37	37	37	37	40	41	38	41	42	52	55	60	58	60	61	63	67	71	75	77	77	76	
23	23	23	47	45	66	65	65	63	62	58	51	37	21	11	8	12	20	26	36	42	50	56	63	65	65	65	66	66	65	65	65	65	62	45	23	5	3	10	18	28	37	43	46	52	59	64	66	57	36	15	6	17	30	41	48	46	38	23	15	8	5	5	5	6	5	7	10	16	21	28	36	48	55	53	35	16	11	16	45	68	75	58	48	53	60	63	69	76	76	75	71	72	73	73	73	72	75	77	67	60	53	56	57	56	57	56	56	52	51	48	50	47	45	43	42	42	42	42	42	41	42	45	50	55	59	63	53	42	36	43	54	59	62	62	61	59	53	45	40	36	37	38	42	50	58	65	65	60	53	46	42	38	35	33	33	36	40	43	46	48	54	59	63	64	48	30	15	16	16	30	60	78	74	54	47	46	46	45	41	31	18	10	5	7	7	12	16	22	28	31	26	16	8	7	6	8	10	15	15	17	17	16	15	18	25	23	16	10	10	12	16	21	28	32	33	33	32	35	35	43	46	48	45	42	40	38	37	35	32	32	35	35	38	38	41	40	41	41	41	42	43	50	53	58	58	60	60	62	67	73	76	77	76	77	
