27	27	0	0	50	40	13	13	13	13	7	7	7	7	7	13	20	20	20	27	20	20	13	20	20	20	27	40	53	53	60	60	67	47	33	33	60	60	53	40	53	67	73	60	47	60	110	140	107	120	140	60	60	67	47	47	33	40	40	33	33	40	60	67	40	40	93	80	73	80	120	113	110	110	140	137	110	60	40	33	33	27	27	40	53	60	87	20	20	33	47	53	40	87	80	60	53	60	47	60	60	53	33	20	57	40	47	60	110	117	120	120	133	133	133	127	120	120	107	100	80	100	110	148	80	73	100	130	110	103	80	40	33	33	40	140	110	83	80	140	200	40	73	40	60	60	40	40	33	40	20	13	0	80	90	80	53	27	13	13	13	27	27	13	13	13	13	13	27	13	13	13	13	13	13	13	13	7	13	20	20	20	20	60	60	47	40	47	40	33	20	33	40	47	33	20	7	13	40	47	47	47	47	47	27	13	13	13	13	13	13	13	13	13	13	13	13	13	27	27	13	13	13	0	60	67	20	27	33	20	27	40	60	80	100	60	40	77	80	40	20	7	20	27	40	27	13	7	7	7	13	20	27	13	7	
7	7	7	7	20	27	27	27	40	40	0	27	0	47	40	13	13	13	13	7	20	27	27	20	53	67	53	40	80	80	83	110	103	80	60	47	40	47	47	60	40	53	80	120	100	67	53	60	70	40	40	40	47	53	47	47	47	60	60	60	60	60	77	60	60	73	73	60	47	40	110	103	87	93	120	147	160	60	47	27	20	13	27	40	120	117	123	113	80	67	53	47	60	73	80	20	27	33	53	47	47	27	33	40	47	47	40	120	140	180	80	100	127	133	140	120	100	180	40	40	40	160	167	180	40	47	40	107	60	87	60	40	60	53	47	40	80	80	67	60	120	0	60	67	67	60	53	100	87	80	20	20	27	33	53	60	83	90	97	107	87	40	20	7	13	20	33	33	33	27	13	7	7	7	7	7	7	7	7	7	7	7	20	47	20	27	33	33	27	20	20	20	20	20	13	7	13	40	73	60	0	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	13	13	7	7	7	7	20	43	0	40	53	40	33	27	27	27	33	47	60	60	40	20	13	13	13	13	20	20	13	13	13	13	13	7	13	13	7	
13	13	20	20	27	27	27	20	20	47	20	27	40	53	60	0	7	13	20	20	27	27	27	20	120	120	100	20	33	40	47	60	67	20	33	47	47	47	40	60	60	73	73	80	113	80	87	87	73	73	73	60	60	53	53	47	40	47	60	100	100	107	113	127	133	130	110	90	80	80	113	120	113	120	127	120	80	60	33	20	27	33	40	40	100	113	120	107	120	113	100	40	27	27	20	27	13	7	0	40	20	27	33	33	40	33	40	60	87	80	60	53	60	60	120	160	127	80	20	53	73	80	200	140	60	67	80	100	113	120	40	27	13	7	7	0	80	87	60	60	60	67	53	47	33	20	7	13	20	27	27	33	40	27	13	0	120	80	200	140	60	73	80	53	27	0	7	20	27	0	20	20	20	20	20	20	20	20	7	7	7	7	20	40	47	33	27	13	7	7	7	7	7	7	7	7	7	20	60	20	7	7	7	7	7	7	7	7	7	7	7	20	27	0	20	13	40	40	33	13	7	7	7	7	7	7	7	7	13	20	20	13	7	0	60	73	87	67	40	27	33	40	40	20	0	27	0	7	7	7	7	7	7	7	7	
7	7	7	7	7	20	20	20	13	13	7	0	33	47	53	60	60	40	27	27	33	33	27	20	53	60	40	13	13	7	7	0	80	67	60	80	60	53	60	120	133	130	123	117	120	140	120	60	40	47	80	73	67	60	53	47	47	47	53	53	60	53	47	53	67	73	87	120	120	93	120	127	127	120	120	120	120	20	33	47	47	47	40	40	40	73	40	47	53	67	47	33	20	20	27	20	20	20	63	60	60	53	53	40	40	33	33	40	63	40	47	47	53	47	40	120	140	153	147	120	60	180	180	140	120	107	100	83	110	110	20	7	7	7	7	7	13	40	53	77	63	40	13	7	13	20	20	20	20	20	27	33	40	27	13	0	110	120	20	13	0	160	110	70	33	0	27	7	13	27	27	20	13	7	7	7	7	7	7	7	7	0	20	27	20	27	20	7	7	7	7	7	7	7	7	7	7	0	33	20	13	7	7	7	7	7	7	7	13	27	40	47	40	20	7	7	7	7	7	7	7	7	7	7	7	7	13	7	7	7	7	7	7	7	7	7	0	40	0	13	27	33	40	33	20	40	0	13	13	13	13	13	13	13	13	
13	13	20	13	13	20	27	20	13	7	7	7	7	7	0	40	40	20	7	7	7	13	20	20	27	33	27	33	27	33	13	27	60	87	40	40	77	80	80	100	160	200	80	107	133	147	160	60	53	60	93	110	83	60	60	53	47	40	40	40	47	53	60	60	120	0	20	140	110	90	100	133	140	120	107	140	147	140	80	87	73	40	27	27	33	40	40	57	70	80	80	47	33	40	40	47	53	73	60	20	40	40	33	27	33	33	27	27	27	27	27	40	67	80	80	100	110	110	77	60	67	60	160	120	0	20	33	40	40	53	0	40	33	33	40	40	0	0	60	67	60	53	27	13	7	20	40	40	20	7	7	13	40	60	120	120	90	50	0	37	37	37	37	37	37	37	37	7	13	20	40	20	7	7	7	7	7	7	7	7	7	0	27	0	27	27	27	27	27	27	27	27	27	27	27	27	7	20	33	0	7	7	7	7	7	7	7	7	7	20	33	40	40	27	13	13	7	13	13	13	13	20	13	13	7	7	7	7	7	7	0	20	0	20	20	20	0	67	20	20	20	20	33	40	40	53	0	13	13	13	7	7	7	7	7	
27	27	33	27	20	20	20	20	20	13	13	7	7	7	13	40	40	33	13	7	7	20	33	33	27	27	20	27	40	53	40	47	80	113	100	20	33	40	73	100	120	147	147	147	147	160	160	100	100	140	153	147	120	103	90	87	80	80	53	20	20	80	67	40	60	0	80	73	53	60	80	100	100	93	87	87	80	113	120	60	40	77	80	60	33	47	80	80	40	40	60	20	20	13	7	7	7	0	40	40	33	20	27	20	27	20	13	13	20	47	53	60	60	73	67	60	93	80	47	40	73	100	100	100	80	53	40	33	33	40	47	20	20	27	33	33	20	20	27	53	53	40	20	7	13	13	20	27	20	13	13	13	40	60	80	80	60	27	7	7	7	13	27	27	27	13	7	7	20	27	0	20	20	20	20	7	7	7	7	7	13	13	7	7	7	7	7	7	7	7	7	7	7	7	7	13	40	47	20	20	33	0	27	27	27	27	27	7	20	53	40	47	47	40	20	7	7	7	13	13	20	20	27	27	33	27	13	13	13	27	53	40	0	7	13	27	40	73	0	7	13	13	27	33	53	40	0	7	13	20	13	20	20	27	20	
33	33	33	20	20	20	27	27	27	20	20	13	7	7	7	13	27	47	40	33	20	27	33	33	20	0	100	60	53	47	40	40	80	107	80	53	33	33	40	70	103	140	147	180	180	140	160	200	80	120	180	173	160	140	100	87	80	93	80	20	80	60	40	73	60	60	67	80	60	80	87	107	110	110	97	80	60	53	60	60	60	40	40	33	33	47	47	53	27	0	120	60	33	13	7	7	7	13	20	40	47	40	27	20	13	7	13	20	40	60	73	60	47	53	53	80	120	110	40	60	120	123	140	103	110	120	40	33	40	53	53	47	40	47	47	40	20	7	7	20	120	140	87	100	110	103	80	40	27	20	27	33	47	40	40	33	33	27	20	20	20	80	100	40	27	20	13	27	40	33	0	20	20	7	20	20	13	7	7	7	7	0	110	103	87	60	20	7	7	13	27	33	20	7	7	20	67	60	47	53	40	0	27	27	27	27	7	20	110	160	60	33	13	13	13	13	13	13	13	13	27	40	33	40	33	20	7	7	7	0	110	80	0	7	7	27	33	40	40	40	40	40	47	53	53	40	33	20	20	20	27	27	33	27	27	
27	27	27	20	20	27	40	47	40	13	13	20	20	13	13	27	33	53	60	60	33	27	33	33	47	80	100	110	20	20	13	13	40	60	20	33	33	27	20	60	73	60	100	100	240	207	200	207	200	180	167	173	160	147	120	0	60	140	160	20	80	140	87	47	20	0	80	120	73	80	90	80	160	200	100	60	53	100	60	47	47	53	53	47	33	27	20	53	0	47	0	20	27	13	27	20	27	27	40	40	47	33	33	27	27	13	7	13	27	40	47	60	53	67	60	73	100	120	40	47	40	20	67	40	53	80	120	0	13	20	27	20	33	27	47	60	67	20	40	60	80	140	87	100	107	113	120	20	20	40	47	53	33	0	13	27	40	47	33	27	20	80	40	40	33	20	0	80	107	80	53	47	47	53	47	40	13	13	13	13	13	13	13	40	100	20	7	7	7	7	7	0	33	47	20	20	20	63	60	40	40	27	0	7	13	27	27	27	13	7	7	7	7	7	7	7	7	7	20	40	120	117	120	20	13	7	7	0	27	53	80	100	0	33	33	0	27	0	20	40	53	60	80	80	83	63	20	33	33	27	33	33	33	27	27	
33	33	33	27	33	40	47	60	70	40	40	47	47	40	40	33	20	13	20	27	27	20	27	27	40	47	60	27	20	33	0	7	20	33	40	33	33	27	47	80	80	113	120	60	240	240	200	200	157	160	153	147	140	160	120	20	0	220	120	67	40	53	40	27	20	20	60	67	87	120	167	160	167	160	140	80	53	60	73	87	67	40	40	33	27	20	20	180	80	47	27	47	40	20	20	27	33	40	47	53	53	40	27	20	20	13	20	40	47	47	47	60	73	67	67	60	60	87	40	47	40	0	40	20	33	40	100	110	0	13	20	27	20	20	20	120	80	53	27	27	40	93	120	87	100	80	60	40	13	0	80	73	60	40	27	27	33	40	27	27	40	47	67	100	100	40	27	20	53	73	60	60	40	27	13	13	13	40	53	40	20	20	20	20	20	67	60	0	20	20	0	80	67	60	47	33	20	60	0	7	7	7	7	7	20	33	20	13	7	7	7	7	7	13	13	13	20	27	47	33	0	0	40	40	20	7	7	7	7	7	20	27	0	20	20	0	27	53	80	80	20	27	33	47	60	67	67	53	60	120	120	20	47	53	47	
47	47	40	40	60	63	20	40	60	67	60	60	53	53	53	47	20	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	20	27	40	47	47	40	120	120	107	107	120	172	140	120	147	120	140	153	140	40	255	110	80	20	160	120	60	40	80	80	40	33	40	60	73	80	80	200	220	120	147	160	80	110	20	47	60	53	53	47	40	20	7	0	110	180	20	27	33	40	67	20	27	33	40	47	53	47	33	20	20	13	7	7	20	20	20	20	27	40	60	110	110	40	33	27	20	7	7	7	13	20	27	20	60	60	20	20	27	27	20	13	27	33	33	20	20	40	93	80	80	20	20	13	7	7	20	33	47	47	40	33	33	33	33	27	33	40	80	100	60	60	60	40	53	47	40	140	140	20	13	0	47	0	47	47	47	47	47	47	47	0	27	53	33	0	27	13	27	40	73	80	40	20	13	7	7	7	7	7	7	7	7	7	7	7	7	20	13	13	13	20	20	7	13	40	40	0	7	20	20	20	7	7	7	0	20	27	7	7	13	20	20	57	40	40	40	47	53	67	80	47	27	20	110	103	100	87	80	80	120	140	
