8	8	9	14	12	19	19	21	21	22	19	21	21	21	18	17	15	17	20	17	15	12	14	13	13	7	11	9	10	9	4	12	1	3	2	6	7	2	2	1	1	2	1	4	1	5	9	12	15	9	13	9	17	15	19	20	21	25	25	32	33	43	44	44	46	37	37	42	39	44	40	42	32	39	40	39	41	41	36	30	33	37	29	31	33	23	24	25	36	35	37	44	47	48	52	54	59	63	62	70	74	82	83	76	66	61	56	55	45	47	43	47	43	38	45	43	37	34	24	25	31	17	3	5	16	19	4	4	
3	3	5	9	13	16	14	18	23	17	20	21	21	16	17	18	18	16	18	19	17	15	14	11	13	12	10	8	7	1	7	6	4	3	0	7	4	2	8	8	5	7	8	2	2	2	6	6	6	5	11	14	17	18	23	26	32	28	34	27	46	33	31	32	31	33	33	32	37	34	39	33	38	41	37	30	21	23	21	28	23	21	19	20	17	23	18	29	32	36	36	35	40	43	52	54	58	66	63	72	79	83	86	80	70	76	66	70	71	68	57	57	57	45	47	41	40	38	30	26	25	14	7	1	22	11	3	3	
2	2	1	7	15	14	14	16	17	21	17	18	21	19	16	18	17	20	17	14	18	16	17	12	10	8	12	13	11	5	7	6	14	5	5	3	4	4	9	7	7	9	6	2	4	4	1	6	15	16	18	16	27	25	25	27	32	31	26	25	26	25	20	27	29	25	26	31	28	31	29	26	24	22	23	21	21	21	19	18	16	12	12	20	18	21	23	29	29	34	40	24	43	44	52	54	59	63	65	74	83	79	77	78	77	69	72	66	69	67	67	65	55	46	39	46	44	39	41	27	28	13	5	1	19	8	5	5	
2	2	2	1	7	13	9	12	18	17	17	16	16	17	21	23	19	21	21	22	17	18	16	16	14	14	12	11	9	8	4	10	8	11	8	9	7	7	7	7	7	5	7	0	4	2	6	13	16	24	22	22	23	23	26	22	22	14	16	20	23	19	21	25	20	22	20	20	26	17	19	19	20	16	21	20	21	21	14	12	13	18	22	20	28	26	30	24	36	34	27	30	37	37	45	52	58	62	62	75	85	81	68	69	65	71	69	70	67	72	74	64	56	55	50	46	42	42	34	39	21	24	4	8	9	11	37	37	
2	2	2	3	4	7	10	3	10	5	17	10	8	9	13	17	16	16	21	24	23	18	16	18	17	11	17	19	8	8	10	9	9	8	3	9	6	6	1	1	9	7	0	6	11	7	21	28	25	28	26	24	22	24	26	18	20	22	28	28	22	22	22	24	28	24	20	22	27	17	16	21	12	11	14	13	13	10	9	10	8	20	19	28	28	22	27	27	35	37	26	22	33	44	38	50	58	60	63	78	72	62	54	52	61	58	60	69	67	69	75	75	64	62	59	52	50	41	37	37	39	27	3	8	1	11	58	58	
9	9	7	7	2	8	4	10	10	1	4	6	8	4	10	8	4	11	16	16	15	16	18	19	18	17	13	18	17	14	16	10	12	11	11	9	5	6	1	1	3	2	14	22	26	25	30	21	25	25	22	21	20	30	32	35	35	27	30	29	18	22	22	24	23	19	18	21	17	15	18	19	14	12	15	13	9	11	14	11	13	12	18	21	20	23	24	22	21	34	30	29	39	42	39	46	59	60	63	80	73	57	54	49	38	50	48	52	57	67	69	75	66	64	64	52	41	52	40	33	37	27	2	4	1	52	54	54	
8	8	10	13	9	6	13	10	11	7	1	7	9	4	4	1	4	5	6	4	8	11	4	10	8	7	11	13	15	14	12	15	10	10	7	5	2	3	2	8	17	19	27	29	21	17	24	15	15	20	19	22	20	34	31	25	24	27	28	17	12	25	24	22	25	19	23	19	19	14	14	14	12	15	19	15	15	19	20	11	11	15	15	23	24	17	12	14	25	32	34	33	30	32	50	53	60	60	63	76	66	63	54	42	44	44	42	50	50	52	56	53	68	72	63	63	52	42	43	27	29	30	6	6	20	64	44	44	
12	12	12	15	13	19	15	14	12	12	9	14	13	11	10	12	11	11	10	15	3	7	7	9	7	11	10	7	16	12	6	3	4	3	0	4	11	13	14	14	17	8	11	7	9	10	12	16	20	20	22	23	32	34	22	30	22	23	21	23	22	20	23	21	23	15	23	18	19	16	14	10	13	12	11	14	16	19	7	5	8	13	9	20	17	18	14	19	29	34	30	33	37	25	47	53	56	48	42	65	82	72	50	47	37	41	41	40	51	51	53	42	56	62	64	48	51	43	45	31	28	32	12	2	36	41	37	37	
15	15	16	15	18	15	18	13	13	16	14	14	15	11	15	13	14	17	14	11	11	10	10	12	11	11	8	3	7	1	2	5	7	2	5	4	0	9	8	9	9	13	9	13	14	12	15	18	26	24	22	26	33	25	29	28	19	22	21	27	24	31	24	25	15	22	19	18	17	14	13	11	14	16	9	15	15	15	14	10	8	15	12	21	12	13	25	27	35	41	40	42	28	27	52	55	59	61	45	58	73	83	77	65	53	50	36	39	64	64	47	37	30	37	48	48	48	48	32	35	30	24	17	3	51	36	21	21	
13	13	16	16	19	12	15	16	13	11	13	11	10	12	8	10	13	7	9	4	6	7	9	5	9	6	6	3	4	5	1	8	8	6	5	3	5	4	10	5	11	13	14	16	14	16	16	21	20	24	25	22	19	21	21	28	20	29	26	26	29	16	21	17	15	20	21	20	10	17	13	12	11	13	16	15	9	9	9	11	17	26	23	20	20	22	31	28	39	50	41	33	27	20	41	64	67	70	65	67	68	77	82	84	70	50	44	65	78	60	41	26	35	37	48	42	43	43	28	30	40	23	16	10	68	30	9	9	
14	14	18	17	17	11	11	11	11	11	11	9	13	11	7	9	4	5	5	8	14	9	11	9	9	9	7	10	12	12	7	8	3	0	0	1	9	9	6	9	13	6	15	13	15	14	18	18	23	14	28	26	17	15	18	23	27	21	30	25	27	10	16	14	14	14	13	11	13	16	16	15	15	16	12	11	6	7	12	15	25	31	27	20	29	43	43	31	32	31	16	21	11	12	53	71	75	75	75	74	69	73	75	83	67	58	67	89	82	59	44	32	30	37	38	37	36	39	33	37	34	31	28	20	67	22	4	4	
13	13	14	9	13	10	10	11	8	6	11	11	11	11	6	4	9	10	12	12	15	15	19	10	11	7	10	6	7	7	5	1	1	3	6	8	5	9	4	8	10	7	10	13	15	13	11	20	20	18	25	28	25	18	16	18	17	15	16	14	16	16	12	14	14	17	6	12	11	14	14	14	15	6	9	15	13	21	18	35	31	29	30	29	29	39	29	30	26	19	14	11	10	18	59	75	68	78	77	75	77	76	81	87	70	66	75	79	78	61	44	35	37	35	30	38	45	47	39	39	38	34	31	28	61	17	1	1	
6	6	9	5	11	10	13	10	11	11	11	6	12	14	11	11	10	10	9	8	20	13	10	11	9	4	12	2	3	2	0	4	2	5	2	4	4	4	5	0	9	10	3	13	15	9	18	21	27	19	19	28	18	15	12	20	13	11	17	13	6	16	8	5	10	18	13	8	13	15	18	17	19	6	18	25	20	24	38	39	36	32	32	31	33	24	29	16	16	20	9	3	13	38	70	60	71	81	81	84	82	74	72	78	70	68	79	84	79	72	46	33	37	37	34	30	45	43	43	42	34	33	36	25	59	14	3	3	
8	8	6	8	9	10	11	15	9	11	12	9	12	10	7	7	7	12	9	9	7	10	7	10	11	10	7	4	1	9	1	3	3	5	3	3	2	2	1	5	8	9	8	12	12	14	12	22	17	21	20	9	10	9	16	14	6	3	3	4	7	7	10	9	7	19	10	12	23	16	14	14	11	21	32	35	39	32	33	40	38	31	33	21	21	24	27	17	12	15	3	8	6	50	72	74	77	76	79	78	68	64	68	61	60	74	78	83	76	83	44	33	37	33	32	38	48	47	41	35	38	38	36	30	57	20	6	6	
10	10	7	11	6	10	8	8	12	5	10	7	7	9	10	7	7	10	5	11	2	6	10	7	10	4	4	4	2	8	1	6	5	1	2	1	0	14	8	8	10	6	12	10	14	9	15	18	20	14	6	2	6	11	12	6	2	1	6	6	6	2	1	9	15	23	14	12	26	21	16	20	23	31	44	37	37	34	42	38	45	37	24	17	15	26	26	18	12	15	5	3	19	26	62	73	73	74	75	82	78	66	60	60	54	73	79	71	67	59	50	36	38	35	32	41	58	58	45	52	45	40	30	41	52	17	10	10	
7	7	6	9	9	10	7	9	3	7	11	4	9	9	9	10	6	12	7	7	5	9	6	7	8	0	6	7	5	3	3	4	2	0	2	7	3	4	13	9	11	13	14	11	2	5	13	11	0	3	0	7	3	8	8	1	1	4	5	2	0	3	5	14	18	24	13	16	35	32	29	24	31	55	47	33	30	31	32	40	38	33	26	23	18	26	24	13	19	15	15	13	14	18	21	60	64	64	68	72	78	79	80	64	56	77	64	53	61	58	52	45	41	33	33	39	56	59	54	55	53	35	31	50	38	20	10	10	
6	6	1	3	4	4	4	6	4	8	9	10	8	7	2	15	7	5	5	10	7	7	10	4	8	4	7	2	4	6	4	7	8	4	9	6	9	12	9	8	3	17	7	8	0	1	1	2	5	3	5	6	3	0	5	1	9	1	9	1	2	5	10	11	20	23	18	28	39	39	32	52	55	51	40	32	31	27	23	37	37	33	21	20	20	23	12	13	20	9	19	16	13	10	8	13	29	35	37	56	62	68	80	79	78	84	75	63	60	53	52	50	42	42	35	36	52	63	62	73	60	33	42	61	34	12	14	14	
6	6	5	4	5	0	2	6	4	5	3	4	6	5	7	7	5	3	5	6	4	6	4	4	5	0	0	5	3	3	10	8	6	9	7	6	2	13	5	5	7	1	2	8	1	4	0	4	2	5	8	3	1	5	1	2	6	1	9	1	2	13	13	29	27	35	37	33	37	39	55	55	57	56	41	27	25	33	32	39	32	26	15	15	19	26	26	23	30	22	22	30	20	26	21	3	3	2	11	16	38	35	58	70	72	83	75	71	61	52	55	44	38	38	37	42	54	62	78	77	72	25	69	69	44	1	22	22	
1	1	7	6	6	6	3	2	2	4	8	1	4	4	5	2	4	2	4	0	10	1	3	1	5	5	6	0	3	1	5	8	5	9	9	6	5	0	4	0	4	1	3	0	2	2	1	4	1	4	8	3	0	4	1	1	2	4	7	5	5	12	26	34	40	56	54	59	28	47	57	55	54	45	46	32	29	24	33	28	31	25	16	22	15	26	27	23	21	30	45	82	82	32	19	16	5	2	2	5	2	18	29	26	53	68	76	81	85	55	44	50	42	38	33	45	51	69	75	69	71	47	70	64	47	5	21	21	
7	7	0	0	5	6	1	0	4	4	4	5	1	5	1	1	0	3	2	2	6	6	6	7	2	8	8	5	3	2	5	4	4	6	3	3	2	0	1	4	4	6	6	5	5	9	4	7	9	5	7	7	7	2	4	4	8	3	3	11	18	30	49	69	73	71	71	62	25	47	46	40	54	55	43	34	23	33	23	30	30	39	29	25	21	28	29	23	20	62	73	86	91	27	25	19	15	5	8	3	4	12	7	16	18	34	48	61	75	83	74	36	38	38	31	39	62	69	67	62	64	40	70	59	42	17	9	9	
6	6	5	1	0	4	5	4	9	4	1	4	2	0	3	1	0	5	2	0	5	1	2	2	6	5	6	8	10	8	3	4	2	5	1	0	1	2	0	3	3	7	4	7	6	6	3	7	6	10	9	7	8	3	1	0	9	12	4	33	39	56	65	78	80	76	72	67	38	38	36	45	46	55	38	29	28	27	23	22	34	39	39	37	43	40	33	13	13	50	55	40	49	35	31	25	21	11	11	1	4	8	7	6	0	20	23	28	59	73	78	49	38	37	33	43	63	67	53	57	78	43	69	60	30	35	1	1	
7	7	5	9	2	7	8	4	4	5	4	4	3	0	6	3	1	7	1	0	2	2	3	2	3	3	1	6	7	5	3	6	7	3	3	1	2	4	2	2	9	3	4	7	4	7	0	7	7	7	7	8	4	8	2	1	4	17	8	60	61	65	73	60	69	71	71	64	62	58	37	33	38	58	48	41	32	28	36	34	35	44	37	34	39	38	19	18	12	27	30	45	52	38	30	23	23	22	16	4	5	11	10	4	9	1	5	18	36	65	84	51	44	45	35	46	69	59	45	47	80	51	66	64	1	50	3	3	
8	8	5	6	5	4	6	2	7	4	4	2	7	4	4	2	8	2	6	5	5	2	7	1	7	1	8	6	1	1	2	5	6	6	2	1	1	1	2	7	4	1	1	1	2	2	3	5	2	2	5	8	1	5	2	2	5	15	3	65	69	77	56	57	75	69	69	66	66	51	67	58	58	50	57	60	48	48	49	54	58	59	47	35	29	32	26	30	32	31	33	40	29	29	23	14	26	32	36	21	6	9	3	7	12	8	15	14	18	32	81	59	48	45	39	53	72	56	36	40	73	62	63	70	10	46	12	12	
4	4	5	6	6	1	6	3	9	6	6	6	6	10	9	5	8	4	10	12	14	14	16	10	9	13	12	11	6	8	6	12	8	8	10	10	8	9	5	8	8	5	13	7	6	9	10	3	2	3	0	5	2	2	1	1	1	2	29	67	61	66	75	73	74	68	72	72	70	69	33	47	55	72	64	63	56	56	56	56	64	69	58	52	32	45	31	34	42	43	29	20	18	22	16	7	24	46	48	36	27	6	4	12	17	13	5	12	2	9	63	74	56	42	32	61	68	45	30	29	69	68	44	64	24	0	34	34	
6	6	2	4	4	9	4	7	3	9	6	10	6	9	8	5	10	5	7	3	13	13	12	13	13	18	14	17	8	9	13	9	7	10	8	9	9	9	8	6	5	6	5	4	7	10	8	6	4	7	2	2	5	7	3	10	8	15	35	61	35	69	70	70	70	65	62	76	76	74	44	32	34	43	61	67	60	52	50	55	69	75	71	66	60	46	39	40	39	36	29	19	18	9	9	4	21	37	50	60	41	15	5	13	16	16	11	12	8	2	31	89	53	51	40	84	65	37	20	20	62	62	35	60	39	14	35	35	
1	1	1	5	5	3	5	6	4	2	6	9	9	11	6	9	9	4	8	9	5	6	3	6	10	11	12	8	13	3	3	8	10	10	10	12	8	7	7	7	6	11	7	8	4	4	10	12	7	9	11	7	10	7	14	15	18	3	26	20	74	65	66	64	65	67	67	72	52	68	71	31	27	25	36	61	64	44	40	48	69	52	52	75	63	50	45	35	36	41	29	21	16	1	1	2	21	39	60	68	60	33	10	5	17	14	13	15	16	9	23	82	57	43	48	83	61	31	21	10	60	58	37	59	47	12	29	29	
