127	127	127	127	147	171	194	215	164	121	143	189	214	227	223	166	127	121	116	129	195	214	217	214	212	197	184	148	118	140	123	128	149	152	139	131	129	134	164	156	149	174	208	192	156	138	164	186	160	158	153	147	149	151	150	152	150	148	149	148	142	128	123	120	122	116	111	109	110	112	106	107	108	108	109	112	107	106	104	106	107	113	112	115	109	83	80	105	106	74	87	79	91	105	128	112	128	159	137	129	152	154	138	148	134	146	152	170	166	172	177	173	175	161	138	103	75	71	83	80	76	76	83	82	129	151	153	111	
73	73	73	0	0	127	127	147	171	194	215	164	121	143	189	214	227	223	166	127	121	116	129	195	214	217	214	212	197	184	148	118	140	123	128	149	152	139	131	129	134	164	156	149	174	208	192	156	138	164	186	160	158	153	147	149	151	150	152	150	148	149	148	142	128	123	120	122	116	111	109	110	112	106	107	108	108	109	112	107	106	104	106	107	113	112	115	109	83	80	105	106	74	87	79	91	105	128	112	128	159	137	129	152	154	138	148	134	146	152	170	166	172	177	173	175	161	138	103	75	71	83	80	76	76	83	82	129	
7	7	7	73	73	129	128	135	145	148	147	120	112	128	142	152	180	225	204	140	116	113	135	155	150	171	213	214	201	195	153	112	120	118	123	137	144	140	143	133	137	155	148	150	185	210	193	158	129	127	143	143	143	143	149	152	151	147	151	147	146	142	132	130	129	124	126	122	122	118	115	120	118	121	121	124	132	134	131	128	125	127	124	117	114	111	107	107	84	7	105	101	75	80	83	88	88	123	117	133	144	146	153	153	112	97	120	127	120	119	160	167	165	146	144	138	113	83	72	68	76	80	78	76	76	83	79	108	
15	15	15	16	16	35	35	35	39	39	38	36	37	38	39	38	40	47	48	138	32	32	33	44	43	43	50	52	51	46	42	39	34	36	34	35	36	37	38	38	36	40	41	41	43	44	42	38	36	34	37	37	38	33	33	33	32	31	31	31	31	30	29	30	30	26	26	26	24	24	23	21	19	19	17	16	15	16	15	16	17	17	19	19	20	19	20	21	19	14	18	19	19	20	19	20	20	25	31	30	27	29	31	29	28	30	30	28	27	27	34	37	35	33	35	103	82	73	71	20	19	19	18	17	17	19	19	20	
13	13	13	15	15	149	37	36	37	38	37	35	33	33	32	36	37	37	44	44	121	32	32	34	38	37	39	47	47	47	39	37	36	36	36	36	37	36	37	38	36	35	38	39	41	44	125	120	32	31	32	30	31	31	32	32	32	30	30	30	30	29	30	27	27	27	26	27	25	22	19	17	15	68	69	13	13	14	89	85	85	77	71	73	17	20	22	21	19	16	19	20	22	21	20	21	22	23	26	30	30	31	32	28	29	24	23	24	28	26	27	36	34	34	29	25	71	19	20	19	18	18	17	15	16	17	18	18	
13	13	13	12	13	125	139	43	39	39	35	34	34	35	37	37	38	39	36	37	37	38	35	35	35	36	36	36	42	45	43	34	35	35	37	37	35	36	37	37	37	36	35	38	39	36	88	36	37	30	29	29	32	32	31	32	32	31	30	29	29	29	29	29	28	26	23	21	18	86	78	84	82	12	12	11	8	8	8	11	11	10	11	60	11	14	18	24	18	14	14	17	22	21	19	20	23	30	30	30	29	29	26	26	27	26	23	25	27	24	26	28	30	25	24	21	21	21	18	18	17	14	11	15	16	16	18	19	
99	99	99	12	12	45	42	43	39	38	36	32	30	32	36	37	37	38	39	39	36	36	35	37	38	38	38	38	36	42	43	41	38	36	33	37	39	41	38	36	35	34	34	34	40	113	122	34	31	31	31	31	31	31	31	30	30	30	30	28	29	29	29	25	21	78	74	74	80	94	96	9	9	9	6	5	5	5	6	6	6	7	7	6	6	6	35	18	25	11	8	13	20	21	20	20	25	27	32	29	30	27	28	28	26	27	24	24	24	25	30	27	24	23	23	23	17	17	15	13	11	17	21	148	134	17	18	18	
135	135	135	99	99	230	45	43	41	39	39	36	30	31	34	39	39	38	36	36	35	37	38	38	37	38	38	37	36	38	40	39	40	39	38	37	38	39	37	37	36	36	34	34	31	26	33	33	31	30	30	30	30	30	30	30	31	30	30	30	27	24	96	84	82	84	14	14	13	7	8	8	7	7	8	6	6	5	5	6	6	7	8	8	5	5	4	37	25	20	11	16	13	19	19	22	29	29	29	29	27	27	23	25	27	26	24	24	28	29	26	26	26	26	16	16	14	13	16	21	128	144	150	148	157	19	18	20	
35	35	35	33	135	174	171	44	42	40	37	37	34	31	34	35	40	39	38	37	37	38	38	38	37	38	39	39	36	37	38	40	40	42	38	36	35	40	38	38	34	34	34	33	30	27	30	29	29	30	29	30	30	30	30	30	29	29	27	25	22	106	99	106	12	13	12	7	7	5	6	6	6	6	7	6	4	4	4	6	6	7	8	8	8	7	7	4	21	20	42	16	14	15	18	24	25	32	31	27	24	25	24	28	26	27	25	26	25	23	22	21	19	17	15	14	18	22	133	156	151	142	146	142	38	34	54	20	
39	39	39	39	39	113	111	128	115	91	96	32	31	30	32	36	39	38	37	36	35	35	37	39	38	37	39	38	39	38	37	38	41	44	45	41	36	35	36	37	37	34	34	32	26	25	27	30	31	31	29	30	29	31	31	30	28	25	24	119	22	122	13	12	12	10	9	8	7	7	6	6	5	5	6	6	6	5	4	5	6	6	7	8	8	8	6	4	7	16	11	12	14	15	17	25	26	27	27	24	27	23	22	26	33	33	27	22	21	22	19	17	17	16	19	23	146	154	151	148	31	149	39	38	39	33	23	22	
